date_as_at,abs_name,air_second_dose_pct,type
2021-08-19,Adelaide (C),30,Predicted
2021-08-27,Adelaide (C),36.1,Actual
2021-09-05,Adelaide (C),39.4,Actual
2021-09-06,Adelaide (C),40,Predicted
2021-09-12,Adelaide (C),42.5,Actual
2021-09-19,Adelaide (C),46.2,Actual
2021-09-24,Adelaide (C),50,Predicted
2021-09-26,Adelaide (C),50.7,Actual
2021-10-03,Adelaide (C),55.5,Actual
2021-10-10,Adelaide (C),59.4,Actual
2021-10-12,Adelaide (C),60,Predicted
2021-10-17,Adelaide (C),62.9,Actual
2021-10-24,Adelaide (C),66.8,Actual
2021-10-30,Adelaide (C),70,Predicted
2021-10-31,Adelaide (C),71.3,Actual
2021-11-07,Adelaide (C),75,Actual
2021-11-14,Adelaide (C),78.1,Actual
2021-11-17,Adelaide (C),80,Predicted
2021-11-21,Adelaide (C),81.1,Actual
2021-12-05,Adelaide (C),90,Predicted
2021-08-04,Adelaide Hills (DC),30,Predicted
2021-08-23,Adelaide Hills (DC),40,Predicted
2021-08-27,Adelaide Hills (DC),41.2,Actual
2021-09-05,Adelaide Hills (DC),46.8,Actual
2021-09-10,Adelaide Hills (DC),50,Predicted
2021-09-12,Adelaide Hills (DC),51.1,Actual
2021-09-19,Adelaide Hills (DC),55.2,Actual
2021-09-26,Adelaide Hills (DC),59.5,Actual
2021-09-28,Adelaide Hills (DC),60,Predicted
2021-10-03,Adelaide Hills (DC),63.1,Actual
2021-10-10,Adelaide Hills (DC),66.5,Actual
2021-10-17,Adelaide Hills (DC),70.6,Actual
2021-10-17,Adelaide Hills (DC),70,Predicted
2021-10-24,Adelaide Hills (DC),74.2,Actual
2021-10-31,Adelaide Hills (DC),78.1,Actual
2021-11-04,Adelaide Hills (DC),80,Predicted
2021-11-07,Adelaide Hills (DC),81.7,Actual
2021-11-14,Adelaide Hills (DC),85,Actual
2021-11-21,Adelaide Hills (DC),87.9,Actual
2021-11-22,Adelaide Hills (DC),90,Predicted
2021-08-27,Adelaide Plains (DC),22.9,Actual
2021-09-05,Adelaide Plains (DC),26.3,Actual
2021-09-12,Adelaide Plains (DC),29.1,Actual
2021-09-15,Adelaide Plains (DC),30,Predicted
2021-09-19,Adelaide Plains (DC),31.6,Actual
2021-09-26,Adelaide Plains (DC),34.5,Actual
2021-10-03,Adelaide Plains (DC),37.6,Actual
2021-10-05,Adelaide Plains (DC),40,Predicted
2021-10-10,Adelaide Plains (DC),40.4,Actual
2021-10-17,Adelaide Plains (DC),45.1,Actual
2021-10-24,Adelaide Plains (DC),48.7,Actual
2021-10-26,Adelaide Plains (DC),50,Predicted
2021-10-31,Adelaide Plains (DC),52,Actual
2021-11-07,Adelaide Plains (DC),55.6,Actual
2021-11-14,Adelaide Plains (DC),59.9,Actual
2021-11-16,Adelaide Plains (DC),60,Predicted
2021-11-21,Adelaide Plains (DC),64.3,Actual
2021-12-06,Adelaide Plains (DC),70,Predicted
2021-12-27,Adelaide Plains (DC),80,Predicted
2022-01-17,Adelaide Plains (DC),90,Predicted
2021-08-09,Alexandrina (DC),30,Predicted
2021-08-27,Alexandrina (DC),37.8,Actual
2021-08-30,Alexandrina (DC),40,Predicted
2021-09-05,Alexandrina (DC),42.9,Actual
2021-09-12,Alexandrina (DC),46.2,Actual
2021-09-19,Alexandrina (DC),49.7,Actual
2021-09-21,Alexandrina (DC),50,Predicted
2021-09-26,Alexandrina (DC),52.6,Actual
2021-10-03,Alexandrina (DC),55.2,Actual
2021-10-10,Alexandrina (DC),58.1,Actual
2021-10-13,Alexandrina (DC),60,Predicted
2021-10-17,Alexandrina (DC),61.5,Actual
2021-10-24,Alexandrina (DC),64.7,Actual
2021-10-31,Alexandrina (DC),68.4,Actual
2021-11-04,Alexandrina (DC),70,Predicted
2021-11-07,Alexandrina (DC),71.6,Actual
2021-11-14,Alexandrina (DC),75.2,Actual
2021-11-21,Alexandrina (DC),78.1,Actual
2021-11-25,Alexandrina (DC),80,Predicted
2021-12-17,Alexandrina (DC),90,Predicted
2021-08-06,Barossa (DC),30,Predicted
2021-08-26,Barossa (DC),40,Predicted
2021-08-27,Barossa (DC),39.3,Actual
2021-09-05,Barossa (DC),44.8,Actual
2021-09-12,Barossa (DC),48.9,Actual
2021-09-16,Barossa (DC),50,Predicted
2021-09-19,Barossa (DC),52.2,Actual
2021-09-26,Barossa (DC),55,Actual
2021-10-03,Barossa (DC),58.5,Actual
2021-10-06,Barossa (DC),60,Predicted
2021-10-10,Barossa (DC),61.8,Actual
2021-10-17,Barossa (DC),65.2,Actual
2021-10-24,Barossa (DC),69,Actual
2021-10-27,Barossa (DC),70,Predicted
2021-10-31,Barossa (DC),72.6,Actual
2021-11-07,Barossa (DC),75.6,Actual
2021-11-14,Barossa (DC),78.6,Actual
2021-11-16,Barossa (DC),80,Predicted
